date,ndvi
2023-01-07,0.7877973497029361
2023-01-07,0.3725466733324718
2023-01-07,0.6636396690674148
2023-01-07,0.43131828230122016
2023-02-01,0.5715464837066481
2023-02-01,0.2983098234611843
2023-02-01,0.3903782963217141
2023-02-11,0.5770979527051058
2023-02-11,0.28918934725721895
2023-02-26,0.2095413171148622
2023-03-03,0.5941743613177778
2023-03-03,0.5586364716517439
2023-03-08,0.45504931851245356
2023-03-08,0.24822441833525918
2023-03-08,0.37347978629678286
2023-03-18,0.6028624246971943
2023-03-18,0.24873944147375593
2023-03-18,0.5522377831759332
2023-03-23,0.2852573051980377
2023-03-23,0.37185233300972725
2023-03-23,0.40236724167672333
2023-03-23,0.19403561358883376
2023-03-28,0.560997883666516
2023-04-27,0.5785565985691754
2023-04-27,0.5095920607836454
2023-05-02,0.5896140045698558
2023-05-02,0.518589447133877
2023-05-07,0.000747148807147795
2023-05-07,0.25409486583576807
2023-05-07,0.13499928601398276
2023-07-06,0.27224370985776764
2023-07-06,-0.03173518348788762
2023-07-21,0.3784205843251312
2023-08-20,0.5930655847635701
2023-08-20,0.4252642571777438
2023-10-09,0.6767176903281504
2023-10-09,0.3675977103275629
2023-10-29,0.37406817145485144
2023-10-29,0.27090697413499787
2023-10-29,0.7117685483107028
2023-11-03,0.33798802756346324
2023-11-03,0.605080036073601
2023-11-28,0.2638062861979685
2023-12-08,0.46700312121057946
2023-12-13,0.32305206517339835
2023-12-28,0.0718798169243345
2024-01-12,0.6331640361555637
2024-02-06,0.592757660185513
2024-02-06,0.26562317441436867
2024-02-11,0.27285922706525917
2024-02-11,0.5315370489524442
2024-02-11,0.039358785925595316
2024-02-11,0.6075600433740719
2024-02-26,0.5876490684634896
2024-02-26,0.5222447747385973
2024-03-02,0.5736672347330978
2024-03-02,0.23179822388834787
2024-03-02,0.5000803446227967
2024-03-02,0.30162737355792124
2024-03-07,0.2674477375688061
2024-03-07,0.5111394264039903
2024-03-07,0.6338793801284305
2024-03-07,0.1394219047124794
2024-03-27,0.4550654075427062
2024-04-01,0.522486986168898
2024-04-01,0.4316430944176738
2024-04-06,0.43503707110350764
2024-04-11,0.6017323543168432
2024-04-11,0.4906488519256558
2024-04-16,0.19704076961991496
2024-04-16,0.278989694025221
2024-04-16,0.5697462455035305
2024-04-16,0.4810291571323968
2024-04-21,0.28629843545493006
2024-04-21,0.5501174776534749
2024-04-21,0.16103853742521887
2024-04-21,0.44221853496417657
2024-04-26,0.17687449431193025
2024-04-26,0.4443249564660237
2024-04-26,0.5182612647799931
2024-04-26,0.2679567679164128
2024-05-06,0.09423943991278633
2024-05-06,0.47364628911047046
2024-10-18,0.5990273052553482
2024-11-02,0.626046863432794
2024-11-12,0.6875223782764006
2024-11-12,0.590649083013309
2024-11-22,0.7722310538465365
2024-11-22,0.3424119895525384
2024-11-22,0.6650562050793317
2024-11-22,0.4169100853959953
2024-11-27,0.3693293216436047
2024-11-27,0.7074576481944993
2024-11-27,0.26626341446562674
2025-01-06,0.6920318400105174
2025-01-06,0.3724902585149538
2025-01-06,0.5941968222289528
2025-01-06,0.4030414883277193
2025-01-16,0.13843363476985351
2025-01-16,0.07012212522620791
2025-02-15,0.11733420706477253
2025-03-02,0.5559781609607293
2025-03-12,0.35537059540440336
2025-03-12,0.6580681657125514
2025-03-12,0.14149765454870916
2025-03-12,0.5241025565403644
2025-03-12,0.33868848042406224
2025-04-03,0.616350412801286
2025-04-16,0.5907627062903855
2025-04-26,0.28820418610900717
2025-04-26,0.4339555476847714
2025-04-26,0.5847449714269403
2025-04-26,0.25898598027297803
2025-05-01,0.580559408330662
2025-05-11,0.49110437554301073
2025-05-11,0.05912372773450754
2025-05-16,0.680472977182494
2025-05-16,0.28975599762069515
2025-06-15,0.6387189500852695
2025-06-15,0.7362944706658978
2025-06-15,0.3600063051416565
2025-08-04,0.4192038936711691
2025-08-04,0.3746966557556575
2025-08-04,0.7790357944750453
2025-11-07,0.6364917164811142
2025-12-27,0.6271528184124203
2025-12-27,0.3809753540947564
2025-12-27,0.589552494862933
2025-12-27,0.4114126186664251
2026-02-25,0.5978558525422684
2026-02-25,0.29995217885611813
2026-03-07,0.5483313847868277
2026-03-07,0.5748200357432511
2026-03-07,0.34819889228260936
2026-03-07,0.27449314010748604
2026-03-07,0.5665584461639313
2026-03-07,0.4927126397435955
2026-03-12,0.6286065923863684
2026-03-12,0.5321057226183835
2026-03-17,0.480896863509819
2026-03-17,0.11774816343500503
2026-03-19,0.33074638019211156
2026-03-19,0.5593480577934107
2026-03-19,0.23967116036284247
2026-03-19,0.6770824868000562
2026-03-27,0.5853921488598363
2026-03-27,0.22322463057676867
2026-03-27,0.501468599166007
2026-03-27,0.31194238079209197
2026-04-01,0.627171655450848
2026-04-01,0.20538102872128025
2026-04-01,0.5264420138511149
2026-04-01,0.3263945900285086
2026-04-06,0.32201778195107184
2026-04-06,0.4623789821333134
2026-04-06,0.5211639095326696
2026-04-06,0.1434513154899155
2026-04-08,0.5409899184887269
2026-04-08,0.484654569065374
2026-04-16,0.4702715760468665
2026-04-16,0.5290011342519682
2026-04-16,0.20299338306141942
2026-04-16,0.299235581622459
2026-04-21,0.1631679744827909
2026-04-21,0.5398611298062118
2026-04-21,0.45153167149668355
