date,ndvi
2023-01-07,0.7877986356004057
2023-01-07,0.3725466733324718
2023-01-07,0.6636396690674148
2023-01-07,0.43131828230122016
2023-02-01,0.5715488285302912
2023-02-01,0.2983098234611843
2023-02-01,0.3903782963217141
2023-02-11,0.5770991263673086
2023-02-11,0.289189347257219
2023-02-26,0.2095413171148622
2023-03-03,0.5941743613177778
2023-03-03,0.5586364716517439
2023-03-08,0.45504931851245356
2023-03-08,0.24822441833525918
2023-03-08,0.37347978629678286
2023-03-18,0.552238031537047
2023-03-18,0.6028627777102198
2023-03-18,0.24873944147375593
2023-03-23,0.40236724167672333
2023-03-23,0.19403561358883376
2023-03-23,0.3718523330097273
2023-03-23,0.2852556187298514
2023-03-28,0.560997883666516
2023-04-27,0.5785565985691754
2023-04-27,0.5095920607836454
2023-05-02,0.5896140045698558
2023-05-02,0.518589447133877
2023-05-07,0.25409486583576807
2023-05-07,0.0007471488071477928
2023-05-07,0.13499928601398276
2023-07-06,-0.03173518348788764
2023-07-06,0.2722456435669948
2023-07-21,0.3784205843251312
2023-08-20,0.59306558476357
2023-08-20,0.4252645185686154
2023-10-09,0.6767171856629837
2023-10-09,0.36759771032756283
2023-10-29,0.7117685483107028
2023-10-29,0.37406817145485144
2023-10-29,0.27090697413499787
2023-11-03,0.33798802756346324
2023-11-03,0.605080036073601
2023-11-28,0.2638074175321495
2023-12-08,0.46700312121057946
2023-12-13,0.32305206517339835
2023-12-28,0.0718798169243345
2024-01-12,0.48024231622413865
2024-02-06,0.592757660185513
2024-02-06,0.26562317441436867
2024-02-11,0.2157941674139153
2024-02-11,0.47629766655671785
2024-02-11,0.4712939521657743
2024-02-11,0.03585461909142673
2024-02-26,0.5516220954682426
2024-02-26,0.5014305597279226
2024-03-02,0.5309861491718437
2024-03-02,0.23179822388834787
2024-03-02,0.4752937821573237
2024-03-02,0.29931500887004814
2024-03-07,0.6303658833174384
2024-03-07,0.14076915873282234
2024-03-07,0.49781574497089154
2024-03-07,0.24123418517458176
2024-03-22,0.17427553276372146
2024-03-27,0.26889497234201093
2024-04-01,0.3598461904057913
2024-04-01,0.44986160198893904
2024-04-06,0.16662126033633096
2024-04-11,0.6017328563703236
2024-04-11,0.4861637540868355
2024-04-16,0.5686648908551519
2024-04-16,0.19704076961991496
2024-04-16,0.4787404778276543
2024-04-16,0.278989694025221
2024-04-21,0.5407074745019324
2024-04-21,0.16103853742521887
2024-04-21,0.4125784850419988
2024-04-21,0.28629843545493006
2024-04-26,0.41049346115756286
2024-04-26,0.2679579697664036
2024-04-26,0.44486219191430443
2024-04-26,0.1768744943119302
2024-05-06,0.3296416841478025
2024-05-06,0.04851091346109892
2024-10-18,0.3526893839622001
2024-11-02,0.44705815847450653
2024-11-12,0.6002888391105565
2024-11-12,0.47387036404137745
2024-11-22,0.7686801769595788
2024-11-22,0.3424119895525384
2024-11-22,0.6570733914637388
2024-11-22,0.4169100853959953
2024-11-27,0.3557314694856808
2024-11-27,0.6632753022250771
2024-11-27,0.3090066899242408
2025-01-06,0.5840654135953445
2025-01-06,0.4030414883277193
2025-01-06,0.684808030765033
2025-01-06,0.3724902585149538
2025-01-16,0.0701221252262079
2025-01-16,0.0498505815129887
2025-02-15,0.059737321910548584
2025-03-02,0.3764447893585913
2025-03-12,0.333743489654843
2025-03-12,0.5930023845412531
2025-03-12,0.12519048010489794
2025-03-12,0.4392514907396922
2025-03-12,0.33241593181645646
2025-04-03,0.5372703710922393
2025-04-16,0.4533762276030186
2025-04-26,0.4758845926180955
2025-04-26,0.2681047356868472
2025-04-26,0.5568538843261124
2025-04-26,0.23817148333435884
2025-05-01,0.4618272709720683
2025-05-11,0.28658647771800994
2025-05-11,0.05912372773450752
2025-05-16,0.6720475929218511
2025-05-16,0.28975599762069515
2025-06-15,0.26121798893509807
2025-06-15,0.5584583131446411
2025-06-15,0.5447195001118645
2025-08-04,0.7790392859374092
2025-08-04,0.3746966557556575
2025-08-04,0.4192038936711691
2025-11-07,0.5551096647434466
2025-12-27,0.4098059661195019
2025-12-27,0.572249328838999
2025-12-27,0.3809753540947564
2025-12-27,0.5432941760593424
2026-01-16,0.3322342855278035
